index	g id	t id	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20
49	g103	t50	0	0	1	0	0	3	0	0	4	7	5	0	2	0	2	1	0	4	0	5
50	g103	t51	0	3	3	4	0	0	0	0	0	3	3	0	1	8	0	0	0	0	0	0
51	g103	t52	3	2	0	5	0	0	5	2	0	4	0	0	0	0	3	0	0	0	2	5
52	g103	t53	0	0	0	1	3	1	3	0	9	0	0	3	6	0	3	3	1	4	0	0
53	g103	t54	4	0	0	2	4	5	0	0	3	0	0	2	0	3	1	0	1	3	3	2
54	g103	t55	0	0	1	0	0	2	0	0	0	6	0	2	0	3	6	3	0	2	4	1
55	g103	t56	0	3	0	0	3	0	5	0	2	1	0	0	3	0	0	4	0	0	2	0
56	g103	t57	0	0	8	2	0	2	2	0	4	0	0	0	0	2	2	0	7	3	6	5
57	g104	t58	0	0	0	4	0	5	7	1	2	0	1	5	3	0	0	0	0	3	4	1
58	g104	t59	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	2	0	5
59	g104	t60	3	1	0	2	5	0	0	4	0	6	3	0	5	0	2	2	0	0	4	2
60	g104	t61	4	0	2	3	0	0	0	4	0	2	3	0	0	0	0	2	0	1	1	0
61	g104	t62	0	0	4	1	0	0	0	3	0	2	0	2	0	3	0	0	5	2	0	0
62	g104	t63	0	0	0	1	1	0	0	2	0	0	0	2	0	0	0	1	0	0	4	0
63	g104	t64	0	2	3	4	0	1	4	0	0	1	0	3	0	2	0	0	0	0	0	0
64	g104	t65	6	3	4	0	4	3	0	0	0	5	2	8	0	3	6	4	0	7	4	0
65	g104	t66	3	0	4	1	0	0	2	1	0	1	0	0	0	0	0	0	3	2	0	3
66	g104	t67	1	3	4	0	0	0	2	0	1	0	0	1	0	0	2	0	2	2	0	4
67	g105	t68	3	3	4	0	2	3	6	1	0	1	0	3	4	0	0	2	8	0	4	4
68	g105	t69	2	4	0	0	2	3	1	6	0	3	2	0	0	0	0	3	0	4	5	0
69	g105	t70	0	0	0	2	1	0	0	0	0	6	2	0	3	0	0	3	4	4	2	0
70	g105	t71	5	0	3	0	1	5	1	0	0	0	2	0	2	2	0	3	5	1	0	0
71	g105	t72	0	0	0	0	0	3	0	0	4	2	0	8	0	3	1	0	0	0	0	3
72	g105	t73	0	4	3	3	0	3	6	0	0	0	0	0	0	0	4	3	2	0	1	0
73	g105	t74	4	1	3	0	0	0	0	0	0	0	0	1	0	0	7	0	3	0	5	0
74	g105	t75	0	0	3	5	0	0	4	4	0	0	2	0	0	0	0	0	2	6	0	0
75	g105	t76	0	1	6	0	0	0	0	2	0	0	0	1	4	0	1	0	0	0	4	2
76	g105	t77	0	4	3	0	0	2	0	0	0	0	5	4	0	1	0	0	0	0	0	0
77	g105	t78	0	2	0	0	8	5	5	0	0	2	1	2	4	4	4	0	2	3	1	0
78	g105	t79	0	5	6	2	0	0	2	3	0	2	2	0	0	3	0	4	5	4	0	0
79	g106	t80	3	0	0	0	4	0	2	7	1	1	0	7	0	0	0	4	2	0	2	2
80	g106	t81	0	0	3	3	0	3	0	3	0	0	3	1	0	0	3	0	0	0	3	1
81	g106	t82	3	3	4	2	0	6	0	1	0	7	7	0	0	1	3	5	0	2	0	8
82	g106	t83	2	0	0	2	3	3	0	1	3	5	0	0	0	1	4	0	2	0	6	0
83	g106	t84	8	0	0	4	4	1	0	2	4	0	0	1	0	2	4	3	0	2	1	3
84	g106	t85	0	0	0	0	0	3	0	0	6	1	1	2	0	3	0	1	1	5	0	2
85	g106	t86	0	2	2	1	0	3	2	0	0	0	0	0	4	3	0	1	6	3	3	0
86	g106	t87	1	0	3	3	0	0	0	0	4	0	0	0	2	1	3	0	0	0	0	0
87	g107	t88	4	0	2	1	2	0	2	5	7	3	0	6	0	2	0	6	0	0	0	0
88	g107	t89	0	1	0	7	2	0	0	0	0	2	3	0	2	0	1	4	4	0	0	0
89	g107	t90	1	2	0	1	3	4	5	3	0	4	3	2	2	2	2	0	2	4	4	0
90	g107	t91	3	0	0	4	3	1	0	0	0	0	3	2	0	0	3	4	1	2	0	2
91	g107	t92	0	2	4	0	0	0	2	5	0	2	5	0	3	0	1	0	4	0	4	2
92	g107	t93	1	2	3	1	3	0	0	4	1	0	4	6	0	8	5	0	0	0	2	0
93	g107	t94	0	4	0	3	0	6	6	0	0	0	2	1	0	6	0	1	9	0	0	2
94	g107	t95	6	0	0	1	3	2	0	6	3	0	5	4	0	0	0	3	0	1	0	7
95	g107	t96	0	0	3	5	0	2	3	0	0	0	0	0	6	3	0	0	0	1	0	2
96	g107	t97	7	2	1	0	3	0	0	0	2	2	7	0	0	0	3	0	4	0	3	2
97	g107	t98	1	0	0	0	4	0	0	1	7	0	0	3	3	2	0	0	0	2	0	0
98	g107	t99	4	2	2	4	4	4	3	1	0	3	0	0	0	2	0	0	0	0	6	4
99	g108	t100	0	2	5	3	0	0	6	0	0	0	3	0	3	2	1	0	0	2	0	0
100	g108	t101	3	1	1	0	0	2	1	0	3	0	4	4	0	0	0	0	0	6	2	0
101	g108	t102	5	1	2	1	0	2	2	3	0	0	0	4	1	2	3	0	6	0	0	2
102	g108	t103	0	0	2	5	0	0	0	0	0	4	2	1	0	0	3	0	2	4	0	0
103	g108	t104	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0
104	g108	t105	2	3	0	0	0	0	0	3	4	3	0	0	0	1	0	0	4	2	0	0
105	g108	t106	0	3	2	2	3	0	2	4	0	0	6	0	4	0	3	0	2	0	0	4
106	g108	t107	0	0	1	4	0	0	1	2	5	6	4	5	0	0	1	1	0	0	0	0
107	g109	t108	0	2	0	0	3	0	0	0	0	0	1	5	2	0	1	0	0	4	0	2
108	g109	t109	0	0	0	1	0	0	0	4	4	0	1	0	2	0	5	0	0	0	0	4
109	g109	t110	4	2	0	0	4	0	2	1	0	0	0	0	0	0	0	2	0	4	0	0
110	g109	t111	3	0	2	0	4	0	2	0	0	8	2	9	0	3	4	0	2	0	0	0
111	g109	t112	3	0	3	3	3	0	0	0	0	0	3	2	2	1	0	0	1	3	0	0
112	g109	t113	2	0	0	0	0	0	5	2	4	0	0	0	0	0	0	0	0	0	5	2
113	g109	t114	5	2	0	3	2	0	4	3	0	0	0	2	0	9	0	3	1	4	3	8
114	g109	t115	4	4	2	8	1	3	3	0	0	4	2	3	4	0	3	0	3	7	3	0
115	g11	t116	0	3	2	2	0	0	4	4	0	4	1	4	0	0	0	0	0	0	3	2
116	g11	t117	0	0	5	0	0	0	5	0	3	0	8	5	0	0	3	2	0	6	0	4
117	g11	t118	2	4	3	0	4	3	3	7	2	2	0	1	0	5	0	0	0	0	2	5
118	g11	t119	0	0	0	3	5	5	0	0	6	0	0	0	0	0	3	0	0	0	0	0
119	g11	t120	0	3	2	0	0	0	0	2	0	3	3	0	4	1	0	1	0	0	0	0
120	g11	t121	10	0	0	6	4	0	3	1	0	0	5	0	0	3	0	0	3	0	0	3
121	g11	t122	0	0	0	0	0	2	0	0	5	0	7	3	0	0	1	0	0	0	0	3
122	g11	t123	0	0	0	3	0	1	0	0	1	6	0	2	2	0	0	0	4	3	4	0
123	g11	t124	0	1	3	0	0	2	0	3	3	3	0	4	0	1	3	0	0	0	0	5
124	g110	t125	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	2	6	0	0
125	g110	t126	2	5	3	0	3	2	0	0	0	0	0	0	2	0	0	0	4	0	0	4
126	g110	t127	1	5	0	0	5	3	0	0	2	0	6	0	0	7	5	0	4	0	0	0
127	g110	t128	4	2	5	0	0	2	0	0	0	1	4	0	0	0	0	0	3	0	3	3
128	g110	t129	2	0	3	0	3	0	0	0	0	0	0	0	0	5	0	8	0	0	0	0
129	g110	t130	0	2	4	0	0	3	2	0	0	0	3	0	0	0	2	3	2	0	4	0
130	g110	t131	0	0	0	0	2	6	3	0	5	0	0	0	4	3	0	0	3	0	1	2
131	g110	t132	2	3	6	4	6	0	1	7	3	0	3	0	0	9	0	0	5	0	0	0
132	g110	t133	0	4	3	0	0	4	0	0	3	0	5	0	0	3	0	1	4	3	2	0
133	g110	t134	0	7	0	3	2	0	2	0	0	4	1	0	7	0	0	0	0	0	0	0
134	g110	t135	0	0	0	2	4	0	0	4	4	0	0	4	0	3	3	4	0	5	0	5
135	g110	t136	2	6	0	0	6	6	2	2	0	0	4	4	3	0	0	0	0	0	1	8
136	g111	t137	0	0	7	0	0	4	1	0	4	0	7	0	0	0	0	4	0	0	1	4
137	g111	t138	0	0	3	3	3	3	3	2	0	0	1	3	3	0	4	2	0	0	0	5
138	g111	t139	4	2	0	0	0	2	5	4	0	0	0	0	4	0	0	0	0	0	0	0
139	g111	t140	5	0	0	3	3	3	0	0	0	5	0	5	0	0	4	3	0	0	1	0
140	g111	t141	0	1	3	0	2	2	0	0	1	0	0	4	0	0	2	0	0	3	0	3
141	g111	t142	4	4	0	0	0	2	4	6	0	0	3	0	0	0	0	0	3	2	7	0
142	g111	t143	4	2	5	0	0	4	0	1	0	2	4	3	0	0	2	0	0	0	3	0
143	g111	t144	1	4	3	0	0	3	0	2	3	0	0	4	0	0	4	2	0	0	0	2
144	g111	t145	2	5	0	3	4	0	4	4	0	0	6	0	0	2	0	2	0	0	0	0
145	g111	t146	4	3	0	0	3	1	4	0	0	0	0	0	3	1	0	0	2	6	1	0
146	g111	t147	0	2	0	0	2	2	0	0	0	0	0	1	1	0	0	0	0	1	4	5
147	g111	t148	0	0	3	0	0	4	0	5	3	3	4	0	0	0	0	3	2	0	0	0
148	g111	t149	1	2	1	0	3	0	2	5	2	1	0	0	2	5	1	0	0	0	0	0
149	g112	t150	4	0	0	0	0	0	0	3	3	0	1	0	1	0	1	4	0	0	0	3
150	g112	t151	5	0	0	1	2	2	3	0	0	3	5	0	3	4	5	1	0	4	0	3
151	g112	t152	0	5	0	0	0	0	5	0	6	0	0	2	1	0	0	0	3	0	4	0
152	g112	t153	4	3	0	1	1	0	0	0	1	0	0	2	3	0	0	2	3	0	4	0
153	g112	t154	3	3	0	5	4	4	0	7	0	5	0	0	3	8	0	3	3	0	3	0
154	g112	t155	1	0	0	2	3	0	3	0	0	0	0	0	0	2	3	4	0	0	4	3
155	g112	t156	0	0	0	0	0	0	3	4	0	2	4	0	0	2	0	4	5	0	1	3
156	g112	t157	0	0	1	2	0	0	2	0	0	3	4	4	0	0	1	0	1	8	3	4
157	g112	t158	3	0	0	5	0	0	4	3	0	0	0	5	0	3	2	0	1	2	0	0
158	g112	t159	0	0	1	4	2	0	0	0	2	4	2	1	0	0	0	0	0	2	3	0
159	g112	t160	0	0	4	2	4	4	0	2	0	0	0	0	2	4	0	3	0	4	0	1
160	g112	t161	0	0	0	0	0	2	0	3	0	0	0	4	0	0	5	0	2	0	0	0
161	g113	t162	3	0	3	0	0	5	4	6	5	0	0	0	0	0	4	0	2	0	4	0
162	g113	t163	0	4	0	5	5	1	2	0	0	5	2	4	1	6	1	5	0	5	3	2
163	g113	t164	4	3	0	0	4	4	2	5	5	0	2	0	2	3	0	1	0	0	0	2
164	g113	t165	0	0	3	4	0	0	0	0	4	1	2	3	7	0	0	0	0	3	3	4
165	g113	t166	0	0	3	4	0	0	2	4	0	1	1	1	0	0	0	0	0	4	4	5
166	g113	t167	0	0	0	1	1	0	0	4	1	0	4	2	0	2	2	0	0	3	0	0
167	g113	t168	3	0	2	1	4	3	0	2	4	2	4	1	1	5	3	2	3	0	4	3
168	g113	t169	0	0	0	2	5	1	0	0	3	0	0	0	0	0	0	0	2	5	4	0
169	g113	t170	2	0	0	0	0	4	8	0	5	3	0	0	7	0	0	1	3	0	2	6
170	g113	t171	2	0	1	0	2	5	3	0	2	0	4	4	0	3	2	1	0	0	0	0
171	g114	t172	0	4	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	4	4
172	g114	t173	0	0	0	5	0	5	0	2	0	3	0	0	0	0	5	1	0	5	2	3
173	g114	t174	3	0	0	0	2	0	0	0	5	0	5	3	0	1	0	1	0	4	0	6
174	g114	t175	0	3	0	2	0	1	0	0	3	0	0	5	4	3	0	0	4	6	0	0
175	g114	t176	4	1	1	0	4	4	0	4	0	7	0	0	0	0	0	0	0	2	2	2
176	g114	t177	0	0	0	0	0	3	3	2	0	0	0	8	0	3	2	3	0	0	3	0
177	g114	t178	0	0	4	2	0	0	2	1	0	3	6	0	3	0	0	0	2	0	0	0
178	g114	t179	3	0	0	7	5	3	3	0	0	0	1	6	0	0	0	2	0	4	0	2
179	g114	t180	0	0	0	3	0	1	0	0	2	1	5	0	4	0	2	6	5	0	2	0
180	g114	t181	0	0	3	3	0	0	0	4	0	0	4	0	0	0	0	0	2	0	0	0
181	g114	t182	0	0	0	0	0	1	0	2	0	2	2	0	3	3	4	0	0	1	1	0
182	g114	t183	0	3	2	0	3	0	0	0	2	6	0	4	6	2	0	0	6	3	0	0
183	g115	t184	2	2	0	0	0	1	0	0	0	0	0	4	3	0	4	1	6	0	3	6
184	g115	t185	2	0	4	0	0	0	0	0	3	0	0	3	8	5	0	7	0	0	3	0
185	g115	t186	0	2	4	0	0	0	5	3	3	0	0	0	0	4	3	0	0	0	0	0
186	g115	t187	1	4	0	0	1	3	0	0	4	0	2	2	0	0	0	4	1	0	2	5
187	g115	t188	3	2	1	2	0	0	0	0	2	2	4	0	0	1	2	0	2	0	0	3
188	g115	t189	0	0	5	4	3	0	0	0	6	0	0	1	0	0	0	3	6	1	0	3
189	g115	t190	3	2	3	1	0	0	4	3	2	0	3	0	4	0	4	0	0	3	4	3
190	g115	t191	0	0	4	3	6	1	0	0	0	0	0	0	3	2	3	0	4	4	0	6
191	g115	t192	0	4	0	0	2	1	0	1	0	2	0	2	0	0	2	3	1	0	6	0
192	g115	t193	4	1	3	2	2	3	4	0	2	3	6	1	3	0	0	0	0	2	0	0
193	g115	t194	0	3	2	0	0	0	0	0	0	2	0	5	0	1	0	0	3	4	0	2
194	g115	t195	2	1	1	2	2	0	5	1	0	0	6	1	4	1	2	0	1	1	9	3
195	g115	t196	4	2	0	6	0	5	0	6	1	0	1	0	0	0	0	0	0	5	4	1
196	g115	t197	2	0	3	4	0	0	0	6	6	3	2	0	2	0	4	0	2	2	4	0
197	g115	t198	0	4	0	0	3	6	0	8	1	4	5	4	0	0	0	0	0	0	0	3
198	g116	t199	4	6	0	2	0	0	0	0	2	3	0	3	4	0	0	0	0	0	3	0
199	g116	t200	3	2	3	0	0	0	5	0	5	0	0	4	0	6	5	2	0	0	6	1
200	g116	t201	0	3	3	0	0	0	0	4	0	0	1	0	6	3	5	3	5	4	2	0
201	g116	t202	0	0	0	0	0	0	3	0	0	4	3	0	1	5	0	0	0	0	0	2
202	g116	t203	0	0	0	0	7	3	0	3	3	4	0	0	3	4	0	0	0	0	0	0
203	g116	t204	6	0	0	3	0	2	0	1	1	0	4	0	0	0	0	0	0	0	0	2
204	g116	t205	1	1	0	5	4	4	3	0	0	4	0	0	3	0	2	3	3	5	0	5
205	g116	t206	0	0	0	0	2	0	1	0	3	3	0	3	0	0	0	4	0	0	0	0
206	g117	t207	0	0	0	2	0	2	2	0	3	0	1	0	1	0	0	0	3	0	0	0
207	g117	t208	0	0	0	3	3	5	4	2	4	5	0	0	0	7	4	0	5	0	0	1
208	g117	t209	0	0	0	0	0	4	4	2	1	2	0	0	2	0	0	0	1	5	0	0
209	g117	t210	2	2	0	5	0	0	3	0	0	3	0	0	1	3	0	3	0	0	0	0
210	g117	t211	5	0	3	0	3	0	0	0	0	0	0	0	0	0	3	0	4	0	3	1
211	g117	t212	6	0	0	2	2	2	0	3	2	2	0	0	0	0	0	0	2	3	5	0
212	g117	t213	2	1	0	0	0	0	0	6	0	0	0	9	7	5	1	5	0	2	0	3
213	g117	t214	0	0	2	0	5	0	2	1	2	0	0	2	3	0	6	3	2	4	5	0
214	g117	t215	0	0	1	1	5	0	3	0	0	0	0	0	0	0	4	0	0	3	3	0
215	g117	t216	0	3	5	0	2	0	0	1	0	0	3	0	0	2	5	0	3	2	2	4
216	g117	t217	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
217	g117	t218	0	3	4	0	0	0	0	0	0	0	2	0	1	1	4	0	3	0	5	0
218	g117	t219	3	4	2	0	0	0	1	0	4	0	0	0	5	2	2	3	0	0	1	2
219	g117	t220	1	0	2	0	0	2	0	0	7	3	0	2	2	0	4	0	2	1	0	0
220	g118	t221	4	0	0	0	0	0	0	0	0	2	0	2	3	4	4	4	0	0	0	0
221	g118	t222	0	0	0	2	0	0	0	2	1	0	0	0	3	0	4	3	0	0	0	0
222	g118	t223	0	0	0	0	0	0	5	6	0	0	0	3	0	0	0	2	0	0	0	0
223	g118	t224	0	5	0	0	0	2	0	0	0	0	3	0	2	1	0	2	0	7	6	0
224	g118	t225	0	0	1	0	4	0	5	0	2	7	2	0	0	1	0	3	0	0	0	0
225	g118	t226	1	2	0	0	2	3	0	0	4	3	0	1	0	0	0	0	0	0	4	2
226	g118	t227	4	0	0	0	0	2	3	0	0	0	4	0	0	0	2	0	2	0	0	1
227	g118	t228	0	0	0	0	3	0	0	2	1	0	2	6	3	0	0	4	0	1	3	0
228	g119	t229	0	0	0	0	0	4	2	4	0	0	0	0	3	4	0	0	0	0	2	0
229	g119	t230	6	5	0	2	0	9	2	2	0	3	5	1	0	3	0	0	0	3	0	9
230	g119	t231	0	0	4	3	0	0	0	0	0	6	4	0	0	0	4	2	0	5	2	0
231	g119	t232	0	6	0	1	0	2	0	0	2	0	0	0	3	0	3	3	0	0	0	2
232	g119	t233	2	0	0	1	0	0	6	2	0	3	0	4	0	0	2	0	4	0	0	0
233	g119	t234	4	3	0	3	2	0	0	0	0	0	4	3	0	0	0	0	2	5	0	4
234	g119	t235	0	6	1	3	1	0	8	4	6	0	0	4	2	0	0	3	3	5	2	0
235	g119	t236	4	7	3	4	1	3	3	0	0	2	0	0	0	0	6	3	0	2	0	4
236	g119	t237	2	4	5	0	0	5	2	0	0	0	0	0	0	0	3	0	3	3	1	1
237	g119	t238	0	0	0	0	0	0	2	3	6	0	0	4	0	3	2	4	0	1	3	2
238	g119	t239	0	3	2	0	4	0	5	2	1	3	4	0	1	0	0	4	2	2	0	4
239	g119	t240	2	3	0	1	6	5	2	3	1	2	0	5	0	3	0	0	0	3	0	2
240	g119	t241	0	3	0	0	0	3	3	0	0	0	0	0	3	0	3	0	0	6	0	2
241	g12	t242	3	2	3	0	0	5	0	4	3	0	2	0	7	6	0	5	0	5	0	5
242	g12	t243	0	3	0	2	0	0	3	2	0	4	3	0	0	0	2	0	0	5	2	0
243	g12	t244	0	0	0	6	6	6	4	2	5	3	0	2	0	4	0	0	0	0	0	4
244	g12	t245	0	0	0	3	0	0	0	2	0	0	0	3	0	0	0	5	0	0	4	4
245	g12	t246	1	0	0	3	2	2	0	0	0	2	3	3	0	0	0	0	3	1	0	5
246	g12	t247	0	5	0	0	2	2	2	1	0	3	0	0	1	0	2	0	0	3	2	0
247	g12	t248	6	2	0	3	0	0	0	0	2	6	0	0	0	4	4	3	1	2	2	3
248	g120	t249	0	0	0	0	4	4	0	1	1	4	0	0	0	2	4	0	0	1	4	3
249	g120	t250	3	1	0	2	0	4	2	2	6	0	0	5	0	5	4	0	3	0	4	0
250	g120	t251	6	2	0	3	0	2	0	3	0	3	1	3	0	0	0	3	0	2	0	0
251	g120	t252	0	0	0	1	3	4	7	0	0	5	7	5	0	3	2	3	5	0	3	0
252	g120	t253	0	1	0	0	5	0	0	7	2	0	4	0	0	0	0	3	0	0	0	2
253	g120	t254	2	1	0	0	0	4	0	0	3	0	7	0	0	0	1	0	5	0	0	3
254	g120	t255	6	0	2	0	3	0	5	0	4	0	8	3	0	0	0	0	0	0	0	5
255	g120	t256	5	4	2	0	3	4	6	6	6	0	0	0	1	0	0	0	3	5	0	4
256	g120	t257	2	0	2	4	4	3	4	3	1	3	2	0	0	4	2	0	0	3	3	0
257	g120	t258	0	3	0	0	3	0	0	0	0	5	1	3	0	3	2	4	0	5	0	1
258	g121	t259	0	2	0	3	5	2	6	2	0	0	0	3	2	0	0	3	0	0	0	3
259	g121	t260	3	0	3	3	3	4	0	0	2	2	0	1	4	6	0	4	5	0	0	6
260	g121	t261	4	0	0	2	0	0	0	0	2	6	0	3	0	4	0	0	0	0	3	2
261	g121	t262	0	0	3	0	3	0	0	2	0	0	2	7	0	0	5	0	3	2	5	0
262	g121	t263	1	0	0	0	3	5	3	3	0	0	2	0	4	6	4	0	0	0	3	0
263	g121	t264	3	2	2	0	0	0	1	0	0	3	0	0	2	4	0	0	0	0	2	0
264	g121	t265	0	0	0	1	0	4	0	3	3	0	0	0	1	5	5	5	3	3	0	1
265	g122	t266	0	0	4	0	5	0	1	1	0	5	1	0	0	0	2	0	3	0	0	0
266	g122	t267	0	5	6	0	4	1	2	0	3	3	2	0	3	5	3	5	0	2	1	0
267	g122	t268	0	0	3	5	0	0	0	4	0	0	0	1	2	1	0	0	0	0	0	1
268	g122	t269	4	4	2	0	2	0	0	0	6	0	4	0	0	4	0	0	0	2	1	0
269	g122	t270	6	3	0	5	0	0	2	2	2	0	0	0	1	3	4	0	4	3	0	5
270	g122	t271	6	0	0	0	1	0	4	0	0	6	0	1	3	0	1	4	5	0	6	3
271	g122	t272	0	0	2	5	0	4	0	0	1	4	2	0	0	0	0	0	0	4	0	2
272	g122	t273	0	1	0	2	4	0	0	4	0	0	0	3	0	4	0	0	0	3	6	3
273	g122	t274	0	2	6	3	6	2	2	1	2	1	2	2	8	5	0	1	0	0	4	1
274	g122	t275	3	2	3	0	2	0	5	0	0	0	4	2	3	2	2	0	0	0	0	0
275	g123	t276	0	0	3	0	3	0	4	3	3	0	3	0	0	0	0	0	2	4	3	0
276	g123	t277	0	2	0	3	2	0	1	3	2	3	2	2	4	0	1	0	0	0	0	2
277	g123	t278	2	4	0	0	0	0	3	1	0	2	5	0	0	0	0	0	4	0	0	0
278	g123	t279	2	0	5	0	0	3	0	0	0	4	0	0	0	0	1	0	6	2	3	0
279	g123	t280	6	2	3	4	3	0	0	0	3	2	1	2	1	0	0	0	0	1	1	3
280	g123	t281	4	1	6	0	0	2	3	0	1	0	2	4	0	0	4	3	1	0	0	4
281	g123	t282	0	0	5	0	1	1	0	0	4	0	0	6	1	1	5	2	0	4	4	3
282	g123	t283	0	0	2	1	0	0	0	5	4	0	3	4	0	6	2	0	0	3	1	2
283	g123	t284	2	0	1	3	3	0	2	0	0	0	4	0	6	0	0	0	0	0	0	2
284	g123	t285	2	0	0	3	1	0	0	5	1	1	3	0	1	8	4	6	2	0	0	0
285	g124	t286	0	0	0	3	1	0	2	1	0	0	0	0	0	3	0	4	2	4	0	2
286	g124	t287	3	0	0	6	4	2	0	0	2	0	0	1	1	0	0	3	4	3	0	3
287	g124	t288	4	0	3	0	5	0	4	0	2	0	4	0	0	4	5	5	0	5	4	4
