t id	g id
t171	g113
t172	g114
t173	g114
t174	g114
t175	g114
t176	g114
t177	g114
t178	g114
t179	g114
t180	g114
t181	g114
t182	g114
t183	g114
t184	g115
t185	g115
t186	g115
t187	g115
t188	g115
t189	g115
t190	g115
t191	g115
t192	g115
t193	g115
t194	g115
t195	g115
t196	g115
t197	g115
t198	g115
t199	g116
t200	g116
t201	g116
t202	g116
t203	g116
t204	g116
t205	g116
t206	g116
t207	g117
t208	g117
t209	g117
t210	g117
t211	g117
t212	g117
t213	g117
t214	g117
t215	g117
t216	g117
t217	g117
t218	g117
t219	g117
t220	g117
t221	g118
t222	g118
t223	g118
t224	g118
t225	g118
t226	g118
t227	g118
t228	g118
t229	g119
t230	g119
t231	g119
t232	g119
t233	g119
t234	g119
t235	g119
t236	g119
t237	g119
t238	g119
t239	g119
t240	g119
t241	g119
t242	g12
t243	g12
t244	g12
t245	g12
t246	g12
t247	g12
t248	g12
t249	g120
t250	g120
t251	g120
t252	g120
t253	g120
t254	g120
t255	g120
t256	g120
t257	g120
t258	g120
t259	g121
t260	g121
t261	g121
t262	g121
t263	g121
t264	g121
t265	g121
t266	g122
t267	g122
t268	g122
t269	g122
t270	g122
t271	g122
t272	g122
t273	g122
t274	g122
t275	g122
t276	g123
t277	g123
t278	g123
t279	g123
t280	g123
t281	g123
t282	g123
t283	g123
t284	g123
t285	g123
t286	g124
t287	g124
t288	g124
t289	g124
t290	g124
t291	g124
t292	g124
t293	g124
t294	g124
t295	g124
t296	g124
t297	g125
t298	g125
t299	g125
t300	g125
t301	g125
t302	g125
t303	g125
t304	g125
t305	g125
t306	g125
t307	g125
t308	g125
t309	g125
t310	g126
t311	g126
t312	g126
t313	g126
t314	g126
t315	g126
t316	g126
t317	g126
t318	g126
t319	g126
t320	g126
t321	g126
t322	g126
t323	g126
t324	g126
t325	g127
t326	g127
t327	g127
t328	g127
t329	g127
t330	g127
t331	g127
t332	g127
t333	g127
t334	g127
t335	g128
t336	g128
t337	g128
t338	g129
t339	g129
t340	g129
t341	g129
t342	g129
t343	g129
t344	g129
t345	g129
t346	g129
t347	g129
t348	g13
t349	g13
t350	g13
t351	g13
t352	g130
t353	g130
t354	g130
t355	g130
t356	g130
t357	g130
t358	g130
t359	g130
t360	g130
t361	g130
t362	g130
t363	g130
t364	g130
t365	g131
t366	g131
t367	g131
t368	g131
t369	g131
t370	g131
t371	g131
t372	g131
t373	g131
t374	g131
t375	g131
t376	g131
t377	g131
t378	g131
t379	g131
t380	g131
t381	g132
t382	g132
t383	g132
t384	g132
t385	g132
t386	g132
t387	g132
t388	g132
t389	g133
t390	g133
t391	g133
t392	g133
t393	g133
t394	g133
t395	g133
t396	g133
t397	g133
t398	g133
t399	g134
t400	g134
t401	g134
t402	g134
t403	g134
t404	g134
t405	g134
t406	g134
t407	g134
t408	g134
t409	g134
t410	g135
t411	g135
t412	g135
t413	g135
t414	g135
t415	g135
t416	g135
t417	g135
t418	g136
t419	g136
t420	g136
t421	g136
t422	g136
t423	g136
t424	g137
t425	g137
t426	g137
t427	g137
t428	g137
t429	g137
t430	g137
t431	g137
t432	g137
t433	g137
t434	g138
t435	g138
t436	g138
t437	g138
t438	g138
t439	g138
t440	g138
t441	g138
t442	g138
t443	g138
t444	g138
t445	g138
t446	g138
t447	g138
t448	g138
t449	g138
t450	g139
t451	g139
t452	g139
t453	g139
t454	g139
t455	g139
t456	g139
t457	g14
t458	g14
t459	g14
t460	g14
t461	g14
t462	g14
t463	g14
t464	g14
t465	g14
t466	g14
t467	g140
t468	g140
t469	g140
t470	g140
t471	g140
t472	g140
t473	g140
t474	g140
t475	g140
t476	g140
t477	g140
t478	g141
t479	g141
t480	g141
t481	g141
t482	g141
t483	g141
t484	g141
t485	g141
t486	g141
t487	g142
t488	g142
t489	g142
t490	g142
t491	g142
t492	g142
t493	g142
t494	g142
t495	g142
t496	g142
t497	g142
t498	g143
t499	g143
t500	g143
t501	g143
t502	g143
t503	g143
t504	g143
t505	g144
t506	g144
t507	g144
t508	g144
t509	g144
t510	g144
t511	g144
t512	g145
t513	g145
t514	g145
t515	g145
t516	g145
t517	g145
t518	g145
t519	g145
t520	g145
t521	g145
t522	g146
t523	g146
t524	g146
t525	g146
t526	g146
t527	g146
t528	g146
t529	g146
t530	g146
t531	g146
t532	g146
t533	g147
t534	g147
t535	g147
t536	g147
t537	g147
t538	g147
t539	g147
t540	g147
t541	g147
t542	g147
t543	g147
t544	g147
t545	g147
t546	g148
t547	g148
t548	g148
t549	g148
t550	g148
t551	g148
t552	g149
t553	g149
t554	g149
t555	g149
t556	g149
t557	g149
t558	g149
t559	g149
t560	g149
t561	g15
t562	g15
t563	g15
t564	g15
t565	g15
t566	g15
t567	g15
t568	g15
t569	g150
t570	g150
t571	g150
t572	g150
t573	g150
t574	g151
t575	g151
t576	g151
t577	g151
t578	g151
t579	g151
t580	g151
t581	g151
t582	g152
t583	g152
t584	g152
t585	g152
t586	g152
t587	g152
t588	g152
t589	g152
t590	g152
t591	g153
t592	g153
t593	g153
t594	g153
t595	g153
t596	g153
t597	g153
t598	g153
t599	g153
t600	g153
t601	g153
t602	g153
t603	g153
t604	g154
t605	g154
t606	g154
t607	g154
t608	g154
t609	g154
t610	g154
t611	g154
t612	g154
t613	g154
t614	g154
t615	g154
t616	g154
t617	g154
t618	g154
t619	g154
t620	g154
t621	g155
t622	g155
t623	g155
t624	g155
t625	g155
t626	g155
t627	g155
t628	g155
t629	g156
t630	g156
t631	g156
t632	g156
t633	g156
t634	g156
t635	g156
t636	g156
t637	g156
t638	g156
t639	g156
t640	g157
t641	g157
t642	g157
t643	g157
t644	g157
t645	g157
t646	g157
t647	g157
t648	g157
t649	g157
t650	g157
t651	g158
t652	g158
t653	g158
t654	g158
t655	g158
t656	g158
t657	g158
t658	g158
t659	g158
t660	g158
t661	g158
t662	g158
t663	g159
t664	g159
t665	g159
t666	g159
t667	g159
t668	g159
t669	g159
t670	g159
t671	g159
t672	g159
t673	g159
t674	g159
t675	g16
t676	g16
t677	g16
t678	g16
t679	g16
t680	g16
t681	g16
t682	g160
t683	g160
t684	g160
t685	g160
t686	g160
t687	g160
t688	g160
t689	g160
t690	g160
t691	g160
t692	g161
t693	g161
t694	g161
t695	g161
t696	g161
t697	g162
t698	g162
t699	g162
t700	g162
t701	g162
t702	g162
t703	g162
t704	g163
t705	g163
t706	g163
t707	g163
t708	g163
t709	g163
t710	g163
t711	g163
t712	g163
t713	g164
t714	g164
t715	g164
t716	g164
t717	g164
t718	g164
t719	g164
t720	g164
t721	g164
t722	g164
t723	g164
t724	g164
t725	g164
t726	g165
t727	g165
t728	g165
t729	g165
t730	g165
t731	g165
t732	g165
t733	g165
t734	g165
t735	g165
t736	g165
t737	g165
t738	g165
t739	g165
t740	g165
t741	g166
t742	g166
t743	g166
t744	g166
t745	g166
t746	g166
t747	g166
t748	g166
t749	g166
t750	g166
t751	g167
t752	g167
t753	g167
t754	g167
t755	g167
t756	g167
t757	g167
t758	g167
t759	g167
t760	g167
t761	g168
t762	g168
t763	g168
t764	g168
t765	g168
t766	g168
t767	g168
t768	g168
t769	g169
t770	g169
t771	g169
t772	g169
t773	g169
t774	g17
t775	g17
t776	g17
t777	g17
t778	g17
t779	g17
t780	g17
t781	g17
t782	g17
t783	g17
t784	g17
t785	g170
t786	g170
t787	g170
t788	g170
t789	g170
t790	g170
t791	g170
t792	g170
t793	g170
t794	g170
t795	g170
t796	g170
t797	g171
t798	g171
t799	g171
t800	g171
t801	g171
t802	g171
t803	g171
t804	g171
t805	g171
t806	g171
t807	g171
t808	g172
t809	g172
t810	g172
t811	g172
t812	g172
t813	g172
t814	g172
t815	g172
t816	g173
t817	g173
t818	g173
t819	g173
t820	g173
t821	g173
t822	g174
t823	g174
t824	g174
t825	g174
t826	g174
t827	g174
t828	g175
t829	g175
t830	g175
t831	g175
t832	g175
t833	g175
t834	g175
t835	g175
t836	g176
t837	g176
t838	g176
t839	g176
t840	g176
t841	g176
t842	g176
t843	g176
t844	g176
t845	g176
t846	g176
t847	g176
t848	g177
t849	g177
t850	g177
t851	g177
t852	g177
t853	g177
t854	g177
t855	g177
t856	g177
t857	g178
t858	g178
t859	g178
t860	g178
t861	g178
t862	g178
t863	g178
t864	g178
t865	g178
t866	g178
t867	g178
t868	g178
t869	g178
t870	g178
t871	g178
t872	g178
t873	g179
t874	g179
t875	g179
t876	g179
t877	g179
t878	g179
t879	g179
t880	g179
t881	g179
t882	g179
t883	g18
t884	g18
t885	g18
t886	g18
t887	g18
t888	g18
t889	g18
t890	g18
t891	g18
t892	g18
t893	g180
t894	g180
t895	g180
t896	g180
t897	g180
t898	g180
t899	g181
t900	g181
t901	g181
t902	g181
t903	g181
t904	g181
t905	g181
t906	g181
t907	g181
t908	g181
t909	g181
t910	g181
t911	g181
t912	g181
t913	g181
t914	g182
t915	g182
t916	g182
t917	g182
t918	g182
t919	g182
t920	g182
t921	g183
t922	g183
t923	g183
t924	g183
t925	g183
t926	g183
t927	g183
t928	g183
t929	g183
t930	g183
t931	g183
t932	g183
t933	g183
t934	g183
t935	g183
t936	g184
t937	g184
t938	g184
t939	g184
t940	g184
t941	g184
t942	g184
t943	g185
t944	g185
t945	g185
t946	g185
t947	g185
t948	g185
t949	g185
t950	g185
t951	g185
t952	g185
t953	g185
t954	g185
t955	g185
t956	g186
t957	g186
t958	g186
t959	g186
t960	g186
t961	g186
t962	g186
t963	g186
t964	g186
t965	g186
t966	g187
t967	g187
t968	g187
t969	g187
t970	g187
t971	g187
t972	g187
t973	g187
t974	g187
t975	g187
t976	g187
t977	g187
t978	g187
t979	g187
t980	g188
t981	g188
t982	g188
t983	g188
t984	g188
t985	g188
t986	g188
t987	g188
t988	g189
t989	g189
t990	g189
t991	g189
t992	g189
t993	g189
t994	g189
t995	g189
t996	g189
t997	g19
t998	g19
t999	g19
t1000	g19
t1001	g19
t1002	g19
t1003	g19
t1004	g19
t1005	g19
t1006	g19
t1007	g19
t1008	g19
t1009	g19
t1010	g19
t1011	g190
t1012	g190
t1013	g190
t1014	g190
t1015	g190
t1016	g190
t1017	g190
t1018	g190
t1019	g190
t1020	g190
t1021	g191
t1022	g191
t1023	g191
t1024	g191
t1025	g191
t1026	g191
t1027	g191
t1028	g191
t1029	g191
t1030	g191
t1031	g191
t1032	g192
t1033	g192
t1034	g192
t1035	g192
t1036	g192
t1037	g192
t1038	g192
t1039	g192
t1040	g192
t1041	g192
t1042	g192
t1043	g192
t1044	g192
t1045	g193
t1046	g193
t1047	g193
t1048	g193
t1049	g193
t1050	g193
t1051	g193
t1052	g194
t1053	g194
t1054	g194
t1055	g194
t1056	g194
t1057	g194
t1058	g194
t1059	g194
t1060	g194
t1061	g194
t1062	g194
t1063	g194
t1064	g194
t1065	g195
t1066	g195
t1067	g195
t1068	g195
t1069	g195
t1070	g195
t1071	g195
t1072	g195
t1073	g195
t1074	g195
t1075	g195
t1076	g195
t1077	g195
t1078	g195
t1079	g195
t1080	g195
t1081	g196
t1082	g196
t1083	g196
t1084	g196
t1085	g196
t1086	g196
t1087	g196
t1088	g196
t1089	g196
t1090	g196
t1091	g196
t1092	g196
t1093	g196
t1094	g197
t1095	g197
t1096	g197
t1097	g197
t1098	g197
t1099	g197
t1100	g197
t1101	g197
t1102	g197
t1103	g197
t1104	g197
t1105	g198
t1106	g198
t1107	g198
t1108	g198
t1109	g198
t1110	g198
t1111	g198
t1112	g198
t1113	g198
t1114	g198
t1115	g198
t1116	g198
t1117	g198
t1118	g199
t1119	g199
t1120	g199
t1121	g199
t1122	g199
t1123	g199
t1124	g2
t1125	g2
t1126	g2
t1127	g2
t1128	g2
t1129	g20
t1130	g20
t1131	g20
t1132	g20
t1133	g20
t1134	g20
t1135	g20
t1136	g20
t1137	g200
t1138	g200
t1139	g200
t1140	g200
t1141	g200
t1142	g200
t1143	g21
t1144	g21
t1145	g21
t1146	g21
t1147	g21
t1148	g21
t1149	g21
t1150	g21
t1151	g21
t1152	g21
t1153	g21
t1154	g22
t1155	g22
t1156	g22
t1157	g22
t1158	g22
t1159	g22
t1160	g22
t1161	g22
t1162	g22
t1163	g22
t1164	g22
t1165	g22
t1166	g22
t1167	g22
t1168	g23
t1169	g23
t1170	g23
t1171	g23
t1172	g23
t1173	g23
t1174	g23
t1175	g24
t1176	g24
t1177	g24
t1178	g24
t1179	g24
t1180	g24
t1181	g24
t1182	g24
t1183	g24
t1184	g24
t1185	g24
t1186	g25
t1187	g25
t1188	g25
t1189	g25
t1190	g25
t1191	g25
t1192	g25
t1193	g25
t1194	g26
t1195	g26
t1196	g26
t1197	g26
t1198	g26
t1199	g26
t1200	g26
t1201	g26
t1202	g26
t1203	g26
t1204	g26
t1205	g26
t1206	g26
t1207	g27
t1208	g27
t1209	g27
t1210	g27
t1211	g27
t1212	g27
t1213	g27
t1214	g27
t1215	g27
t1216	g27
t1217	g27
t1218	g27
t1219	g28
t1220	g28
t1221	g28
t1222	g28
t1223	g28
t1224	g28
t1225	g28
t1226	g28
t1227	g28
t1228	g29
t1229	g29
t1230	g29
t1231	g29
t1232	g29
t1233	g29
t1234	g29
t1235	g29
t1236	g29
t1237	g29
t1238	g29
t1239	g29
t1240	g29
t1241	g29
t1242	g29
t1243	g29
t1244	g29
t1245	g3
t1246	g3
t1247	g3
t1248	g3
t1249	g3
t1250	g3
t1251	g3
t1252	g3
t1253	g3
t1254	g3
t1255	g3
t1256	g30
t1257	g30
t1258	g30
t1259	g30
t1260	g30
t1261	g30
t1262	g31
t1263	g31
t1264	g31
t1265	g31
t1266	g32
t1267	g32
t1268	g32
t1269	g32
t1270	g32
t1271	g32
t1272	g32
t1273	g32
t1274	g32
t1275	g32
t1276	g32
t1277	g32
t1278	g32
t1279	g33
t1280	g33
t1281	g33
t1282	g33
t1283	g33
t1284	g33
t1285	g33
t1286	g33
t1287	g33
t1288	g33
t1289	g33
t1290	g33
t1291	g33
t1292	g33
t1293	g33
t1294	g34
t1295	g34
t1296	g34
t1297	g34
t1298	g34
t1299	g34
t1300	g35
t1301	g35
t1302	g35
t1303	g35
t1304	g35
t1305	g35
t1306	g35
t1307	g35
t1308	g35
t1309	g35
t1310	g36
t1311	g36
t1312	g36
t1313	g36
t1314	g36
t1315	g36
t1316	g36
t1317	g37
t1318	g37
t1319	g37
t1320	g37
t1321	g37
t1322	g37
t1323	g37
t1324	g37
t1325	g37
t1326	g37
t1327	g37
t1328	g37
t1329	g37
t1330	g37
t1331	g38
t1332	g38
t1333	g38
t1334	g38
t1335	g38
t1336	g38
t1337	g38
t1338	g38
t1339	g38
t1340	g38
t1341	g38
t1342	g39
t1343	g39
t1344	g39
t1345	g39
t1346	g39
t1347	g39
t1348	g4
t1349	g4
t1350	g4
t1351	g4
t1352	g4
t1353	g4
t1354	g4
t1355	g4
t1356	g4
t1357	g4
t1358	g4
t1359	g4
t1360	g4
t1361	g4
t1362	g4
t1363	g4
t1364	g4
t1365	g4
t1366	g40
t1367	g40
t1368	g40
t1369	g40
t1370	g40
t1371	g40
t1372	g40
t1373	g40
t1374	g41
t1375	g41
t1376	g41
t1377	g41
t1378	g41
t1379	g41
t1380	g41
t1381	g41
t1382	g41
t1383	g41
t1384	g41
t1385	g42
t1386	g42
t1387	g42
t1388	g42
t1389	g42
t1390	g42
t1391	g42
t1392	g42
t1393	g43
t1394	g43
t1395	g43
t1396	g43
t1397	g43
t1398	g43
t1399	g43
t1400	g43
t1401	g43
t1402	g43
t1403	g44
t1404	g44
t1405	g44
t1406	g44
t1407	g44
t1408	g44
t1409	g44
t1410	g45
t1411	g45
t1412	g45
t1413	g45
t1414	g45
t1415	g45
t1416	g45
t1417	g46
t1418	g46
t1419	g46
t1420	g46
t1421	g46
t1422	g46
t1423	g46
t1424	g46
t1425	g46
t1426	g46
t1427	g46
t1428	g46
t1429	g46
t1430	g47
t1431	g47
t1432	g47
t1433	g47
t1434	g47
t1435	g47
t1436	g47
t1437	g47
t1438	g47
t1439	g47
t1440	g47
t1441	g47
t1442	g48
t1443	g48
t1444	g48
t1445	g48
t1446	g48
t1447	g48
t1448	g48
t1449	g48
t1450	g48
t1451	g48
t1452	g48
t1453	g48
t1454	g48
t1455	g48
t1456	g49
t1457	g49
t1458	g49
t1459	g49
t1460	g49
t1461	g49
t1462	g49
t1463	g49
t1464	g5
t1465	g5
t1466	g5
t1467	g5
t1468	g5
t1469	g5
t1470	g5
t1471	g5
t1472	g5
t1473	g5
t1474	g50
t1475	g50
t1476	g50
t1477	g50
t1478	g50
t1479	g50
t1480	g50
t1481	g50
t1482	g50
t1483	g50
t1484	g50
t1485	g50
t1486	g51
t1487	g51
t1488	g51
t1489	g51
t1490	g51
t1491	g51
t1492	g51
t1493	g51
t1494	g51
t1495	g52
t1496	g52
t1497	g52
t1498	g52
t1499	g52
t1500	g52
t1501	g52
t1502	g52
t1503	g52
t1504	g52
t1505	g53
t1506	g53
t1507	g53
t1508	g53
t1509	g53
t1510	g53
t1511	g53
t1512	g53
t1513	g53
t1514	g53
t1515	g53
t1516	g53
t1517	g53
t1518	g54
t1519	g54
t1520	g54
t1521	g54
t1522	g54
t1523	g54
t1524	g54
t1525	g54
t1526	g54
t1527	g54
t1528	g54
t1529	g54
t1530	g54
t1531	g54
t1532	g54
t1533	g54
t1534	g54
t1535	g55
t1536	g55
t1537	g55
t1538	g55
t1539	g55
t1540	g55
t1541	g55
t1542	g56
t1543	g56
t1544	g56
t1545	g56
t1546	g56
t1547	g56
t1548	g56
t1549	g56
t1550	g56
t1551	g56
t1552	g57
t1553	g57
t1554	g57
t1555	g57
t1556	g57
t1557	g57
t1558	g57
t1559	g57
t1560	g57
t1561	g57
t1562	g58
t1563	g58
t1564	g58
t1565	g58
t1566	g58
t1567	g58
t1568	g58
t1569	g58
t1570	g58
t1571	g58
t1572	g58
t1573	g58
t1574	g58
t1575	g58
t1576	g59
t1577	g59
t1578	g59
t1579	g59
t1580	g59
t1581	g59
t1582	g59
t1583	g59
t1584	g6
t1585	g6
t1586	g6
t1587	g6
t1588	g6
t1589	g6
t1590	g6
t1591	g6
t1592	g6
t1593	g60
t1594	g60
t1595	g60
t1596	g60
t1597	g60
t1598	g60
t1599	g60
t1600	g60
t1601	g61
t1602	g61
t1603	g61
t1604	g61
t1605	g61
t1606	g61
t1607	g61
t1608	g61
t1609	g61
t1610	g61
t1611	g62
t1612	g62
t1613	g62
t1614	g62
t1615	g62
t1616	g62
t1617	g62
t1618	g62
t1619	g62
t1620	g63
t1621	g63
t1622	g63
t1623	g63
t1624	g63
t1625	g63
t1626	g63
t1627	g63
t1628	g63
t1629	g63
t1630	g64
t1631	g64
t1632	g64
t1633	g64
t1634	g64
t1635	g64
t1636	g64
t1637	g64
t1638	g65
t1639	g65
t1640	g65
t1641	g65
t1642	g65
t1643	g65
t1644	g65
t1645	g65
t1646	g65
t1647	g65
t1648	g65
t1649	g66
t1650	g66
t1651	g66
t1652	g66
t1653	g66
t1654	g66
t1655	g66
t1656	g66
t1657	g66
t1658	g66
t1659	g67
t1660	g67
t1661	g67
t1662	g67
t1663	g67
t1664	g67
t1665	g67
t1666	g67
t1667	g67
t1668	g67
t1669	g68
t1670	g68
t1671	g68
t1672	g68
t1673	g68
t1674	g69
t1675	g69
t1676	g69
t1677	g69
t1678	g69
t1679	g69
t1680	g69
t1681	g69
t1682	g69
t1683	g69
t1684	g69
t1685	g69
t1686	g69
t1687	g7
t1688	g7
t1689	g7
t1690	g7
t1691	g7
t1692	g70
t1693	g70
t1694	g70
t1695	g70
t1696	g70
t1697	g70
t1698	g70
t1699	g70
t1700	g71
t1701	g71
t1702	g71
t1703	g71
t1704	g71
t1705	g71
t1706	g71
t1707	g71
t1708	g72
t1709	g72
t1710	g72
t1711	g72
t1712	g72
t1713	g72
t1714	g72
t1715	g72
t1716	g72
t1717	g72
t1718	g73
t1719	g73
t1720	g73
t1721	g73
t1722	g73
t1723	g73
t1724	g73
t1725	g73
t1726	g73
t1727	g73
t1728	g74
t1729	g74
t1730	g74
t1731	g74
t1732	g74
t1733	g74
t1734	g74
t1735	g74
t1736	g74
t1737	g75
t1738	g75
t1739	g75
t1740	g75
t1741	g75
t1742	g75
t1743	g75
t1744	g75
t1745	g76
t1746	g76
t1747	g76
t1748	g76
t1749	g76
t1750	g76
t1751	g77
t1752	g77
t1753	g77
t1754	g77
t1755	g77
t1756	g77
t1757	g77
t1758	g77
t1759	g77
t1760	g77
t1761	g77
t1762	g78
t1763	g78
t1764	g78
t1765	g78
t1766	g78
t1767	g78
t1768	g78
t1769	g78
t1770	g79
t1771	g79
t1772	g79
t1773	g79
t1774	g79
t1775	g8
t1776	g8
t1777	g8
t1778	g8
t1779	g8
t1780	g8
t1781	g8
t1782	g8
t1783	g8
t1784	g8
t1785	g8
t1786	g80
t1787	g80
t1788	g80
t1789	g80
t1790	g80
t1791	g80
t1792	g80
t1793	g80
t1794	g80
t1795	g80
t1796	g80
t1797	g81
t1798	g81
t1799	g81
t1800	g81
t1801	g81
t1802	g81
t1803	g81
t1804	g81
t1805	g81
t1806	g82
t1807	g82
t1808	g82
t1809	g82
t1810	g82
t1811	g82
t1812	g82
t1813	g82
t1814	g82
t1815	g83
t1816	g83
t1817	g83
t1818	g83
t1819	g83
t1820	g83
t1821	g83
t1822	g83
t1823	g83
t1824	g84
t1825	g84
t1826	g84
t1827	g84
t1828	g84
t1829	g84
t1830	g84
t1831	g84
t1832	g84
t1833	g84
t1834	g84
t1835	g84
t1836	g84
t1837	g84
t1838	g84
t1839	g85
t1840	g85
t1841	g85
t1842	g85
t1843	g86
t1844	g86
t1845	g86
t1846	g86
t1847	g86
t1848	g86
t1849	g86
t1850	g86
t1851	g86
t1852	g86
t1853	g86
t1854	g86
t1855	g86
t1856	g86
t1857	g87
t1858	g87
t1859	g87
t1860	g87
t1861	g87
t1862	g87
t1863	g87
t1864	g87
t1865	g87
t1866	g88
t1867	g88
t1868	g88
t1869	g88
t1870	g88
t1871	g88
t1872	g88
t1873	g88
t1874	g88
t1875	g88
t1876	g88
t1877	g88
t1878	g88
t1879	g88
t1880	g88
t1881	g89
t1882	g89
t1883	g89
t1884	g89
t1885	g89
t1886	g89
t1887	g89
t1888	g89
t1889	g9
t1890	g9
t1891	g9
t1892	g9
t1893	g9
t1894	g9
t1895	g9
t1896	g9
t1897	g9
t1898	g9
t1899	g9
t1900	g90
t1901	g90
t1902	g90
t1903	g90
t1904	g90
t1905	g90
t1906	g90
t1907	g90
t1908	g90
t1909	g90
t1910	g90
t1911	g90
t1912	g90
t1913	g90
t1914	g90
t1915	g91
t1916	g91
t1917	g91
t1918	g91
t1919	g91
t1920	g91
t1921	g91
t1922	g91
t1923	g91
t1924	g92
t1925	g92
t1926	g92
t1927	g92
t1928	g92
t1929	g92
t1930	g92
t1931	g92
t1932	g93
t1933	g93
t1934	g93
t1935	g93
t1936	g93
t1937	g93
t1938	g93
t1939	g93
t1940	g93
t1941	g94
t1942	g94
t1943	g94
t1944	g94
t1945	g94
t1946	g94
t1947	g94
t1948	g95
t1949	g95
t1950	g95
t1951	g95
t1952	g95
t1953	g95
t1954	g95
t1955	g95
t1956	g95
t1957	g95
t1958	g95
t1959	g95
t1960	g96
t1961	g96
t1962	g96
t1963	g96
t1964	g96
t1965	g96
t1966	g96
t1967	g96
t1968	g96
t1969	g96
t1970	g96
t1971	g96
t1972	g97
t1973	g97
t1974	g97
t1975	g97
t1976	g97
t1977	g97
t1978	g97
t1979	g97
t1980	g97
t1981	g97
t1982	g98
t1983	g98
t1984	g98
t1985	g98
t1986	g98
t1987	g98
t1988	g98
t1989	g98
t1990	g99
t1991	g99
t1992	g99
t1993	g99
t1994	g99
t1995	g99
t1996	g99
t1997	g99
t1998	g99
t1999	g99
t2000	g99
