g id	ids	ids pert	comparison	sample id
g116	t199;t202;t203	t200;t201;t204;t205;t206	test	f9
g116	t199;t202;t203	t200;t201;t204;t205;t206	test	f18
g117	t209;t211;t213;t219	t207;t208;t210;t212;t214;t215;t216;t217;t218;t220	test	f11
g117	t209;t211;t213;t219	t207;t208;t210;t212;t214;t215;t216;t217;t218;t220	test	f9
g117	t209;t211;t213;t219	t207;t208;t210;t212;t214;t215;t216;t217;t218;t220	test	f15
g118	t221;t222;t225;t228	t223;t224;t226;t227	test	f10
g118	t221;t222;t225;t228	t223;t224;t226;t227	test	f18
g118	t221;t222;t225;t228	t223;t224;t226;t227	test	f8
g119	t230;t232;t233;t240	t229;t231;t234;t235;t236;t237;t238;t239;t241	test	f17
g119	t230;t232;t233;t240	t229;t231;t234;t235;t236;t237;t238;t239;t241	test	f18
g119	t230;t232;t233;t240	t229;t231;t234;t235;t236;t237;t238;t239;t241	test	f11
g12	t242;t245;t246	t243;t244;t247;t248	test	f2
g12	t242;t245;t246	t243;t244;t247;t248	test	f4
g12	t242;t245;t246	t243;t244;t247;t248	test	f11
g120	t252;t254;t256;t258	t249;t250;t251;t253;t255;t257	test	f15
g120	t252;t254;t256;t258	t249;t250;t251;t253;t255;t257	test	f12
g120	t252;t254;t256;t258	t249;t250;t251;t253;t255;t257	test	f19
g121	t260;t265	t259;t261;t262;t263;t264	test	f17
g121	t260;t265	t259;t261;t262;t263;t264	test	f7
g121	t260;t265	t259;t261;t262;t263;t264	test	f18
g122	t266;t267;t268;t274;t275	t269;t270;t271;t272;t273	test	f9
g122	t266;t267;t268;t274;t275	t269;t270;t271;t272;t273	test	f6
g122	t266;t267;t268;t274;t275	t269;t270;t271;t272;t273	test	f12
g123	t277;t278;t279;t283	t276;t280;t281;t282;t284;t285	test	f17
g123	t277;t278;t279;t283	t276;t280;t281;t282;t284;t285	test	f11
g123	t277;t278;t279;t283	t276;t280;t281;t282;t284;t285	test	f13
g124	t288;t290;t294	t286;t287;t289;t291;t292;t293;t295;t296	test	f18
g124	t288;t290;t294	t286;t287;t289;t291;t292;t293;t295;t296	test	f10
g124	t288;t290;t294	t286;t287;t289;t291;t292;t293;t295;t296	test	f17
g125	t297;t299;t301;t302;t309	t298;t300;t303;t304;t305;t306;t307;t308	test	f9
g125	t297;t299;t301;t302;t309	t298;t300;t303;t304;t305;t306;t307;t308	test	f5
g125	t297;t299;t301;t302;t309	t298;t300;t303;t304;t305;t306;t307;t308	test	f14
g126	t315;t316;t319;t322;t324	t310;t311;t312;t313;t314;t317;t318;t320;t321;t323	test	f9
g126	t315;t316;t319;t322;t324	t310;t311;t312;t313;t314;t317;t318;t320;t321;t323	test	f17
g127	t327;t329;t332;t333	t325;t326;t328;t330;t331;t334	test	f15
g127	t327;t329;t332;t333	t325;t326;t328;t330;t331;t334	test	f20
g127	t327;t329;t332;t333	t325;t326;t328;t330;t331;t334	test	f12
g128	t335	t336;t337	test	f16
g128	t335	t336;t337	test	f9
g128	t335	t336;t337	test	f8
g129	t339;t340;t341;t344	t338;t342;t343;t345;t346;t347	test	f14
g129	t339;t340;t341;t344	t338;t342;t343;t345;t346;t347	test	f11
g129	t339;t340;t341;t344	t338;t342;t343;t345;t346;t347	test	f13
g13	t348;t351	t349;t350	test	f16
g13	t348;t351	t349;t350	test	f17
g13	t348;t351	t349;t350	test	f10
g130	t352;t356;t359;t361;t362	t353;t354;t355;t357;t358;t360;t363;t364	test	f13
g130	t352;t356;t359;t361;t362	t353;t354;t355;t357;t358;t360;t363;t364	test	f17
g130	t352;t356;t359;t361;t362	t353;t354;t355;t357;t358;t360;t363;t364	test	f19
g131	t367;t368;t370;t371;t372;t379	t365;t366;t369;t373;t374;t375;t376;t377;t378;t380	test	f20
g131	t367;t368;t370;t371;t372;t379	t365;t366;t369;t373;t374;t375;t376;t377;t378;t380	test	f9
g131	t367;t368;t370;t371;t372;t379	t365;t366;t369;t373;t374;t375;t376;t377;t378;t380	test	f13
g132	t385;t386;t387;t388	t381;t382;t383;t384	test	f20
g132	t385;t386;t387;t388	t381;t382;t383;t384	test	f18
g132	t385;t386;t387;t388	t381;t382;t383;t384	test	f3
g133	t393;t395;t396;t397	t389;t390;t391;t392;t394;t398	test	f2
g133	t393;t395;t396;t397	t389;t390;t391;t392;t394;t398	test	f7
g134	t399;t400;t405;t406;t407	t401;t402;t403;t404;t408;t409	test	f17
g134	t399;t400;t405;t406;t407	t401;t402;t403;t404;t408;t409	test	f14
g134	t399;t400;t405;t406;t407	t401;t402;t403;t404;t408;t409	test	f3
g135	t410;t415;t417	t411;t412;t413;t414;t416	test	f10
g135	t410;t415;t417	t411;t412;t413;t414;t416	test	f7
g136	t418;t421;t423	t419;t420;t422	test	f5
g136	t418;t421;t423	t419;t420;t422	test	f19
g136	t418;t421;t423	t419;t420;t422	test	f6
g137	t424;t425;t426;t429	t427;t428;t430;t431;t432;t433	test	f15
g137	t424;t425;t426;t429	t427;t428;t430;t431;t432;t433	test	f6
g137	t424;t425;t426;t429	t427;t428;t430;t431;t432;t433	test	f5
g138	t434;t435;t438;t439;t444;t445	t436;t437;t440;t441;t442;t443;t446;t447;t448;t449	test	f16
g138	t434;t435;t438;t439;t444;t445	t436;t437;t440;t441;t442;t443;t446;t447;t448;t449	test	f5
g138	t434;t435;t438;t439;t444;t445	t436;t437;t440;t441;t442;t443;t446;t447;t448;t449	test	f17
g139	t450;t453;t456	t451;t452;t454;t455	test	f9
g139	t450;t453;t456	t451;t452;t454;t455	test	f20
g14	t457;t459;t461;t463;t464	t458;t460;t462;t465;t466	test	f9
g14	t457;t459;t461;t463;t464	t458;t460;t462;t465;t466	test	f13
g14	t457;t459;t461;t463;t464	t458;t460;t462;t465;t466	test	f3
g140	t471;t472;t473;t477	t467;t468;t469;t470;t474;t475;t476	test	f17
g140	t471;t472;t473;t477	t467;t468;t469;t470;t474;t475;t476	test	f9
g140	t471;t472;t473;t477	t467;t468;t469;t470;t474;t475;t476	test	f20
g141	t478;t480;t483;t484	t479;t481;t482;t485;t486	test	f13
g141	t478;t480;t483;t484	t479;t481;t482;t485;t486	test	f14
g141	t478;t480;t483;t484	t479;t481;t482;t485;t486	test	f3
g142	t489;t491;t492;t493;t497	t487;t488;t490;t494;t495;t496	test	f11
g142	t489;t491;t492;t493;t497	t487;t488;t490;t494;t495;t496	test	f1
g142	t489;t491;t492;t493;t497	t487;t488;t490;t494;t495;t496	test	f3
g143	t498;t499	t500;t501;t502;t503;t504	test	f3
g143	t498;t499	t500;t501;t502;t503;t504	test	f1
g143	t498;t499	t500;t501;t502;t503;t504	test	f17
g144	t505;t507;t508	t506;t509;t510;t511	test	f17
g144	t505;t507;t508	t506;t509;t510;t511	test	f16
g144	t505;t507;t508	t506;t509;t510;t511	test	f2
g145	t514;t516;t517;t521	t512;t513;t515;t518;t519;t520	test	f7
g145	t514;t516;t517;t521	t512;t513;t515;t518;t519;t520	test	f1
g145	t514;t516;t517;t521	t512;t513;t515;t518;t519;t520	test	f16
g146	t522;t523;t529;t531	t524;t525;t526;t527;t528;t530;t532	test	f18
g146	t522;t523;t529;t531	t524;t525;t526;t527;t528;t530;t532	test	f9
g147	t534;t535;t541;t544	t533;t536;t537;t538;t539;t540;t542;t543;t545	test	f6
g147	t534;t535;t541;t544	t533;t536;t537;t538;t539;t540;t542;t543;t545	test	f2
g147	t534;t535;t541;t544	t533;t536;t537;t538;t539;t540;t542;t543;t545	test	f18
g148	t546;t547;t551	t548;t549;t550	test	f17
g148	t546;t547;t551	t548;t549;t550	test	f4
g148	t546;t547;t551	t548;t549;t550	test	f20
g149	t553;t554;t556;t557	t552;t555;t558;t559;t560	test	f14
g149	t553;t554;t556;t557	t552;t555;t558;t559;t560	test	f10
g149	t553;t554;t556;t557	t552;t555;t558;t559;t560	test	f20
g15	t562;t565;t566;t567	t561;t563;t564;t568	test	f1
g15	t562;t565;t566;t567	t561;t563;t564;t568	test	f12
g15	t562;t565;t566;t567	t561;t563;t564;t568	test	f9
g150	t571;t573	t569;t570;t572	test	f19
g150	t571;t573	t569;t570;t572	test	f3
g150	t571;t573	t569;t570;t572	test	f6
g151	t574;t577;t579	t575;t576;t578;t580;t581	test	f8
g151	t574;t577;t579	t575;t576;t578;t580;t581	test	f1
g151	t574;t577;t579	t575;t576;t578;t580;t581	test	f17
g152	t584;t587;t589;t590	t582;t583;t585;t586;t588	test	f4
g152	t584;t587;t589;t590	t582;t583;t585;t586;t588	test	f18
g152	t584;t587;t589;t590	t582;t583;t585;t586;t588	test	f8
g153	t591;t596;t599;t601;t602;t603	t592;t593;t594;t595;t597;t598;t600	test	f12
g153	t591;t596;t599;t601;t602;t603	t592;t593;t594;t595;t597;t598;t600	test	f1
g153	t591;t596;t599;t601;t602;t603	t592;t593;t594;t595;t597;t598;t600	test	f9
g154	t607;t610;t613;t617;t618;t620	t604;t605;t606;t608;t609;t611;t612;t614;t615;t616;t619	test	f16
g154	t607;t610;t613;t617;t618;t620	t604;t605;t606;t608;t609;t611;t612;t614;t615;t616;t619	test	f19
g154	t607;t610;t613;t617;t618;t620	t604;t605;t606;t608;t609;t611;t612;t614;t615;t616;t619	test	f3
g155	t621;t622;t623	t624;t625;t626;t627;t628	test	f1
g155	t621;t622;t623	t624;t625;t626;t627;t628	test	f19
g156	t629;t632;t635;t638	t630;t631;t633;t634;t636;t637;t639	test	f13
g156	t629;t632;t635;t638	t630;t631;t633;t634;t636;t637;t639	test	f14
g156	t629;t632;t635;t638	t630;t631;t633;t634;t636;t637;t639	test	f4
g157	t642;t644;t648;t649	t640;t641;t643;t645;t646;t647;t650	test	f4
g157	t642;t644;t648;t649	t640;t641;t643;t645;t646;t647;t650	test	f14
g157	t642;t644;t648;t649	t640;t641;t643;t645;t646;t647;t650	test	f16
g158	t654;t655;t656;t657;t660;t662	t651;t652;t653;t658;t659;t661	test	f5
g158	t654;t655;t656;t657;t660;t662	t651;t652;t653;t658;t659;t661	test	f19
g158	t654;t655;t656;t657;t660;t662	t651;t652;t653;t658;t659;t661	test	f16
g159	t663;t665;t670;t671;t673;t674	t664;t666;t667;t668;t669;t672	test	f2
g159	t663;t665;t670;t671;t673;t674	t664;t666;t667;t668;t669;t672	test	f14
g159	t663;t665;t670;t671;t673;t674	t664;t666;t667;t668;t669;t672	test	f12
g16	t676;t680	t675;t677;t678;t679;t681	test	f16
g16	t676;t680	t675;t677;t678;t679;t681	test	f10
g160	t684;t685;t688;t689	t682;t683;t686;t687;t690;t691	test	f13
g160	t684;t685;t688;t689	t682;t683;t686;t687;t690;t691	test	f11
g160	t684;t685;t688;t689	t682;t683;t686;t687;t690;t691	test	f16
g161	t692;t694	t693;t695;t696	test	f12
g161	t692;t694	t693;t695;t696	test	f18
g161	t692;t694	t693;t695;t696	test	f3
g162	t698;t700	t697;t699;t701;t702;t703	test	f6
g162	t698;t700	t697;t699;t701;t702;t703	test	f11
g162	t698;t700	t697;t699;t701;t702;t703	test	f17
g163	t704;t706;t711;t712	t705;t707;t708;t709;t710	test	f20
g163	t704;t706;t711;t712	t705;t707;t708;t709;t710	test	f19
g163	t704;t706;t711;t712	t705;t707;t708;t709;t710	test	f11
g164	t714;t717;t718;t719;t725	t713;t715;t716;t720;t721;t722;t723;t724	test	f14
g164	t714;t717;t718;t719;t725	t713;t715;t716;t720;t721;t722;t723;t724	test	f11
g164	t714;t717;t718;t719;t725	t713;t715;t716;t720;t721;t722;t723;t724	test	f13
g165	t731;t733;t736;t737;t739;t740	t726;t727;t728;t729;t730;t732;t734;t735;t738	test	f1
g165	t731;t733;t736;t737;t739;t740	t726;t727;t728;t729;t730;t732;t734;t735;t738	test	f8
g165	t731;t733;t736;t737;t739;t740	t726;t727;t728;t729;t730;t732;t734;t735;t738	test	f17
g166	t741;t745;t747;t748;t749	t742;t743;t744;t746;t750	test	f17
g166	t741;t745;t747;t748;t749	t742;t743;t744;t746;t750	test	f13
g166	t741;t745;t747;t748;t749	t742;t743;t744;t746;t750	test	f3
g167	t756;t757;t759;t760	t751;t752;t753;t754;t755;t758	test	f8
g167	t756;t757;t759;t760	t751;t752;t753;t754;t755;t758	test	f1
g167	t756;t757;t759;t760	t751;t752;t753;t754;t755;t758	test	f18
g168	t762;t765;t766;t768	t761;t763;t764;t767	test	f4
g168	t762;t765;t766;t768	t761;t763;t764;t767	test	f7
g168	t762;t765;t766;t768	t761;t763;t764;t767	test	f19
g169	t769;t772	t770;t771;t773	test	f1
g169	t769;t772	t770;t771;t773	test	f17
g169	t769;t772	t770;t771;t773	test	f4
g17	t774;t776;t778;t779;t782	t775;t777;t780;t781;t783;t784	test	f4
g17	t774;t776;t778;t779;t782	t775;t777;t780;t781;t783;t784	test	f11
g17	t774;t776;t778;t779;t782	t775;t777;t780;t781;t783;t784	test	f6
g170	t787;t789;t791	t785;t786;t788;t790;t792;t793;t794;t795;t796	test	f1
g170	t787;t789;t791	t785;t786;t788;t790;t792;t793;t794;t795;t796	test	f3
g170	t787;t789;t791	t785;t786;t788;t790;t792;t793;t794;t795;t796	test	f5
g171	t797;t800;t805	t798;t799;t801;t802;t803;t804;t806;t807	test	f20
g171	t797;t800;t805	t798;t799;t801;t802;t803;t804;t806;t807	test	f19
g171	t797;t800;t805	t798;t799;t801;t802;t803;t804;t806;t807	test	f9
g172	t808;t810;t811	t809;t812;t813;t814;t815	test	f19
g172	t808;t810;t811	t809;t812;t813;t814;t815	test	f15
g172	t808;t810;t811	t809;t812;t813;t814;t815	test	f16
g173	t816;t818;t819	t817;t820;t821	test	f17
g173	t816;t818;t819	t817;t820;t821	test	f11
g173	t816;t818;t819	t817;t820;t821	test	f10
g174	t824;t827	t822;t823;t825;t826	test	f20
g174	t824;t827	t822;t823;t825;t826	test	f13
g174	t824;t827	t822;t823;t825;t826	test	f16
g175	t828;t829;t830;t833	t831;t832;t834;t835	test	f4
g175	t828;t829;t830;t833	t831;t832;t834;t835	test	f14
g175	t828;t829;t830;t833	t831;t832;t834;t835	test	f10
g176	t837;t839;t840;t843;t846	t836;t838;t841;t842;t844;t845;t847	test	f11
g176	t837;t839;t840;t843;t846	t836;t838;t841;t842;t844;t845;t847	test	f13
g176	t837;t839;t840;t843;t846	t836;t838;t841;t842;t844;t845;t847	test	f4
g177	t850;t852;t853	t848;t849;t851;t854;t855;t856	test	f3
g177	t850;t852;t853	t848;t849;t851;t854;t855;t856	test	f15
g177	t850;t852;t853	t848;t849;t851;t854;t855;t856	test	f14
g178	t859;t860;t864;t865;t866;t869;t870;t871	t857;t858;t861;t862;t863;t867;t868;t872	test	f15
g178	t859;t860;t864;t865;t866;t869;t870;t871	t857;t858;t861;t862;t863;t867;t868;t872	test	f16
g178	t859;t860;t864;t865;t866;t869;t870;t871	t857;t858;t861;t862;t863;t867;t868;t872	test	f18
g179	t873;t877;t878;t879;t881	t874;t875;t876;t880;t882	test	f20
g179	t873;t877;t878;t879;t881	t874;t875;t876;t880;t882	test	f3
g18	t885;t886;t889;t890	t883;t884;t887;t888;t891;t892	test	f8
g18	t885;t886;t889;t890	t883;t884;t887;t888;t891;t892	test	f17
g18	t885;t886;t889;t890	t883;t884;t887;t888;t891;t892	test	f7
g180	t893;t898	t894;t895;t896;t897	test	f20
g180	t893;t898	t894;t895;t896;t897	test	f19
g180	t893;t898	t894;t895;t896;t897	test	f15
g181	t899;t901;t904;t908;t909;t911	t900;t902;t903;t905;t906;t907;t910;t912;t913	test	f17
g181	t899;t901;t904;t908;t909;t911	t900;t902;t903;t905;t906;t907;t910;t912;t913	test	f5
g182	t915;t916;t920	t914;t917;t918;t919	test	f14
g182	t915;t916;t920	t914;t917;t918;t919	test	f7
g182	t915;t916;t920	t914;t917;t918;t919	test	f1
g183	t922;t923;t924;t926;t929;t935	t921;t925;t927;t928;t930;t931;t932;t933;t934	test	f16
g183	t922;t923;t924;t926;t929;t935	t921;t925;t927;t928;t930;t931;t932;t933;t934	test	f20
g184	t938;t940;t942	t936;t937;t939;t941	test	f20
g184	t938;t940;t942	t936;t937;t939;t941	test	f9
g184	t938;t940;t942	t936;t937;t939;t941	test	f13
g185	t943;t945;t950;t952	t944;t946;t947;t948;t949;t951;t953;t954;t955	test	f11
g185	t943;t945;t950;t952	t944;t946;t947;t948;t949;t951;t953;t954;t955	test	f8
g185	t943;t945;t950;t952	t944;t946;t947;t948;t949;t951;t953;t954;t955	test	f7
g186	t959;t961;t964	t956;t957;t958;t960;t962;t963;t965	test	f5
g186	t959;t961;t964	t956;t957;t958;t960;t962;t963;t965	test	f16
g186	t959;t961;t964	t956;t957;t958;t960;t962;t963;t965	test	f11
g187	t968;t969;t973;t975;t976	t966;t967;t970;t971;t972;t974;t977;t978;t979	test	f6
g187	t968;t969;t973;t975;t976	t966;t967;t970;t971;t972;t974;t977;t978;t979	test	f16
g187	t968;t969;t973;t975;t976	t966;t967;t970;t971;t972;t974;t977;t978;t979	test	f14
g188	t984;t985;t987	t980;t981;t982;t983;t986	test	f2
g188	t984;t985;t987	t980;t981;t982;t983;t986	test	f14
g188	t984;t985;t987	t980;t981;t982;t983;t986	test	f18
g189	t991;t995;t996	t988;t989;t990;t992;t993;t994	test	f3
g189	t991;t995;t996	t988;t989;t990;t992;t993;t994	test	f8
g189	t991;t995;t996	t988;t989;t990;t992;t993;t994	test	f20
g19	t1000;t1002;t1009;t1010;t997;t999	t1001;t1003;t1004;t1005;t1006;t1007;t1008;t998	test	f14
g19	t1000;t1002;t1009;t1010;t997;t999	t1001;t1003;t1004;t1005;t1006;t1007;t1008;t998	test	f7
g19	t1000;t1002;t1009;t1010;t997;t999	t1001;t1003;t1004;t1005;t1006;t1007;t1008;t998	test	f19
g190	t1012;t1014;t1016;t1019;t1020	t1011;t1013;t1015;t1017;t1018	test	f19
g190	t1012;t1014;t1016;t1019;t1020	t1011;t1013;t1015;t1017;t1018	test	f8
g191	t1023;t1024;t1025;t1029;t1030	t1021;t1022;t1026;t1027;t1028;t1031	test	f13
g191	t1023;t1024;t1025;t1029;t1030	t1021;t1022;t1026;t1027;t1028;t1031	test	f6
g191	t1023;t1024;t1025;t1029;t1030	t1021;t1022;t1026;t1027;t1028;t1031	test	f10
g192	t1034;t1035;t1036;t1038;t1042	t1032;t1033;t1037;t1039;t1040;t1041;t1043;t1044	test	f18
g192	t1034;t1035;t1036;t1038;t1042	t1032;t1033;t1037;t1039;t1040;t1041;t1043;t1044	test	f6
g192	t1034;t1035;t1036;t1038;t1042	t1032;t1033;t1037;t1039;t1040;t1041;t1043;t1044	test	f17
g193	t1045;t1047;t1049	t1046;t1048;t1050;t1051	test	f13
g193	t1045;t1047;t1049	t1046;t1048;t1050;t1051	test	f2
g194	t1054;t1055;t1056;t1061;t1063	t1052;t1053;t1057;t1058;t1059;t1060;t1062;t1064	test	f11
g194	t1054;t1055;t1056;t1061;t1063	t1052;t1053;t1057;t1058;t1059;t1060;t1062;t1064	test	f7
g194	t1054;t1055;t1056;t1061;t1063	t1052;t1053;t1057;t1058;t1059;t1060;t1062;t1064	test	f19
g195	t1072;t1074;t1075;t1076;t1077;t1080	t1065;t1066;t1067;t1068;t1069;t1070;t1071;t1073;t1078;t1079	test	f2
g195	t1072;t1074;t1075;t1076;t1077;t1080	t1065;t1066;t1067;t1068;t1069;t1070;t1071;t1073;t1078;t1079	test	f16
g195	t1072;t1074;t1075;t1076;t1077;t1080	t1065;t1066;t1067;t1068;t1069;t1070;t1071;t1073;t1078;t1079	test	f6
g196	t1081;t1085;t1090;t1093	t1082;t1083;t1084;t1086;t1087;t1088;t1089;t1091;t1092	test	f12
g196	t1081;t1085;t1090;t1093	t1082;t1083;t1084;t1086;t1087;t1088;t1089;t1091;t1092	test	f13
g196	t1081;t1085;t1090;t1093	t1082;t1083;t1084;t1086;t1087;t1088;t1089;t1091;t1092	test	f2
g197	t1094;t1099;t1102;t1104	t1095;t1096;t1097;t1098;t1100;t1101;t1103	test	f12
g197	t1094;t1099;t1102;t1104	t1095;t1096;t1097;t1098;t1100;t1101;t1103	test	f6
g197	t1094;t1099;t1102;t1104	t1095;t1096;t1097;t1098;t1100;t1101;t1103	test	f15
g198	t1106;t1108;t1110;t1115;t1116	t1105;t1107;t1109;t1111;t1112;t1113;t1114;t1117	test	f8
g198	t1106;t1108;t1110;t1115;t1116	t1105;t1107;t1109;t1111;t1112;t1113;t1114;t1117	test	f12
g198	t1106;t1108;t1110;t1115;t1116	t1105;t1107;t1109;t1111;t1112;t1113;t1114;t1117	test	f15
g199	t1118;t1119	t1120;t1121;t1122;t1123	test	f10
g199	t1118;t1119	t1120;t1121;t1122;t1123	test	f19
g199	t1118;t1119	t1120;t1121;t1122;t1123	test	f15
g2	t1126;t1127	t1124;t1125;t1128	test	f6
g2	t1126;t1127	t1124;t1125;t1128	test	f11
g2	t1126;t1127	t1124;t1125;t1128	test	f12
g20	t1129;t1131;t1134	t1130;t1132;t1133;t1135;t1136	test	f4
g20	t1129;t1131;t1134	t1130;t1132;t1133;t1135;t1136	test	f8
g20	t1129;t1131;t1134	t1130;t1132;t1133;t1135;t1136	test	f1
g200	t1137;t1138;t1139	t1140;t1141;t1142	test	f18
g200	t1137;t1138;t1139	t1140;t1141;t1142	test	f19
g200	t1137;t1138;t1139	t1140;t1141;t1142	test	f7
g21	t1145;t1150;t1151	t1143;t1144;t1146;t1147;t1148;t1149;t1152;t1153	test	f7
g21	t1145;t1150;t1151	t1143;t1144;t1146;t1147;t1148;t1149;t1152;t1153	test	f3
g21	t1145;t1150;t1151	t1143;t1144;t1146;t1147;t1148;t1149;t1152;t1153	test	f14
g22	t1154;t1156;t1157;t1161;t1164;t1165;t1166	t1155;t1158;t1159;t1160;t1162;t1163;t1167	test	f3
g22	t1154;t1156;t1157;t1161;t1164;t1165;t1166	t1155;t1158;t1159;t1160;t1162;t1163;t1167	test	f5
g22	t1154;t1156;t1157;t1161;t1164;t1165;t1166	t1155;t1158;t1159;t1160;t1162;t1163;t1167	test	f15
g23	t1170;t1173	t1168;t1169;t1171;t1172;t1174	test	f6
g23	t1170;t1173	t1168;t1169;t1171;t1172;t1174	test	f4
g24	t1175;t1182;t1185	t1176;t1177;t1178;t1179;t1180;t1181;t1183;t1184	test	f9
g24	t1175;t1182;t1185	t1176;t1177;t1178;t1179;t1180;t1181;t1183;t1184	test	f4
g25	t1186;t1188;t1189;t1192	t1187;t1190;t1191;t1193	test	f14
g25	t1186;t1188;t1189;t1192	t1187;t1190;t1191;t1193	test	f19
g25	t1186;t1188;t1189;t1192	t1187;t1190;t1191;t1193	test	f13
g26	t1195;t1198;t1199;t1204;t1206	t1194;t1196;t1197;t1200;t1201;t1202;t1203;t1205	test	f10
g26	t1195;t1198;t1199;t1204;t1206	t1194;t1196;t1197;t1200;t1201;t1202;t1203;t1205	test	f17
g26	t1195;t1198;t1199;t1204;t1206	t1194;t1196;t1197;t1200;t1201;t1202;t1203;t1205	test	f12
g27	t1209;t1214;t1215;t1218	t1207;t1208;t1210;t1211;t1212;t1213;t1216;t1217	test	f8
g27	t1209;t1214;t1215;t1218	t1207;t1208;t1210;t1211;t1212;t1213;t1216;t1217	test	f12
g27	t1209;t1214;t1215;t1218	t1207;t1208;t1210;t1211;t1212;t1213;t1216;t1217	test	f16
g28	t1220;t1221;t1224;t1226	t1219;t1222;t1223;t1225;t1227	test	f11
g28	t1220;t1221;t1224;t1226	t1219;t1222;t1223;t1225;t1227	test	f3
